																																										
General Info																																										
																																										
Run information																																										
	Session name				SPECabs_350_700_150429																																					
	Session creator				admin																																					
	Run name				SPECabs_350_700_150429_150430_1																																					
	Run creator				admin																																					
	Run started				04/30/2015 09:48:39+02:00																																					
	Total warnings				1																																					
	Warning				Pho-Scanning1 Warning:107																																					
	Total errors				0																																					
																																										
Instrument parameters																																										
	Instrument name				Varioskan																																					
	Instrument version				3.01.15																																					
	Instrument serial number				74																																					
	Actual instrument temperature				<MIN 28.2 28.4																																					
	Dispenser				1																																					
	LumiSens module				N\A																																					
	LumiSens scaling factor				N\A																																					
																																										
SW Parameters																																										
	Run Software Version				SkanIt Software 2.4.3 RE for Varioskan																																					
	Current Software Version				SkanIt Software 2.4.3 RE for Varioskan																																					

																																										
Steps Data																																										
																																										
Protocol properties																																										
	Protocol name				SPECabs_350_700_150429																																					
	Protocol description				spectrum of Phenol Red at different pH, range: 4.5-10.0
12 different pHs (rows) with 8 replicates (columns)																																					
	Plate template				96-well Greiner Bio-One, flat bottom plate																																					
	Execution block type				plate																																					
	Execution order				7																																					
	Settle delay [ms]				0																																					
	Well interval [ms]				0																																					
																																										
Pho-Scanning1																																										
	Measurement technology				Photometric																																					
	Measurement type				Photometric scanning																																					
	Step duration				0:00:00.0																																					
	Lag time				0:00:00.0																																					
	Measurement time [ms]				100																																					
	Bandwidth [nm]				5																																					
	Scanning wavelengths start [nm]				350																																					
	Scanning wavelengths end [nm]				700																																					
	Scanning wavelengths step size [nm]				1																																					

																																										
Sample Data																																										

																																										
Pho-Scanning1																																										
																																										
Plate	Well	Type	Sample	Value	Time (s)	WL																																				
1	A12	Unknown	10_0 1/8	0.549697	4150.85	350																																				
1	A12	Unknown	10_0 1/8	0.53438	4150.97	351																																				
1	A12	Unknown	10_0 1/8	0.538663	4151.09	352																																				
1	A12	Unknown	10_0 1/8	0.544396	4151.21	353																																				
1	A12	Unknown	10_0 1/8	0.548381	4151.33	354																																				
1	A12	Unknown	10_0 1/8	0.553346	4151.46	355																																				
1	A12	Unknown	10_0 1/8	0.557016	4151.58	356																																				
1	A12	Unknown	10_0 1/8	0.560969	4151.7	357																																				
1	A12	Unknown	10_0 1/8	0.56163	4151.82	358																																				
1	A12	Unknown	10_0 1/8	0.562625	4151.94	359																																				
1	A12	Unknown	10_0 1/8	0.56219	4152.07	360																																				
1	A12	Unknown	10_0 1/8	0.560425	4152.19	361																																				
1	A12	Unknown	10_0 1/8	0.557317	4152.31	362																																				
1	A12	Unknown	10_0 1/8	0.553195	4152.43	363																																				
1	A12	Unknown	10_0 1/8	0.547981	4152.55	364																																				
1	A12	Unknown	10_0 1/8	0.539543	4152.68	365																																				
1	A12	Unknown	10_0 1/8	0.5297	4152.8	366																																				
1	A12	Unknown	10_0 1/8	0.518375	4152.92	367																																				
1	A12	Unknown	10_0 1/8	0.50468	4153.04	368																																				
1	A12	Unknown	10_0 1/8	0.489334	4153.17	369																																				
1	A12	Unknown	10_0 1/8	0.473007	4153.29	370																																				
1	A12	Unknown	10_0 1/8	0.457195	4153.55	371																																				
1	A12	Unknown	10_0 1/8	0.434048	4153.67	372																																				
1	A12	Unknown	10_0 1/8	0.417747	4153.79	373																																				
1	A12	Unknown	10_0 1/8	0.398771	4153.92	374																																				
1	A12	Unknown	10_0 1/8	0.380977	4154.04	375																																				
1	A12	Unknown	10_0 1/8	0.361548	4154.16	376																																				
1	A12	Unknown	10_0 1/8	0.345331	4154.28	377																																				
1	A12	Unknown	10_0 1/8	0.324961	4154.4	378																																				
1	A12	Unknown	10_0 1/8	0.310992	4154.53	379																																				
1	A12	Unknown	10_0 1/8	0.296311	4154.65	380																																				
1	A12	Unknown	10_0 1/8	0.282699	4154.77	381																																				
1	A12	Unknown	10_0 1/8	0.26866	4154.89	382																																				
1	A12	Unknown	10_0 1/8	0.256034	4155.01	383																																				
1	A12	Unknown	10_0 1/8	0.243813	4155.14	384																																				
1	A12	Unknown	10_0 1/8	0.230772	4155.26	385																																				
1	A12	Unknown	10_0 1/8	0.222111	4155.38	386																																				
1	A12	Unknown	10_0 1/8	0.213477	4155.5	387																																				
1	A12	Unknown	10_0 1/8	0.206411	4155.62	388																																				
1	A12	Unknown	10_0 1/8	0.200542	4155.75	389																																				
1	A12	Unknown	10_0 1/8	0.195028	4155.87	390																																				
1	A12	Unknown	10_0 1/8	0.190126	4155.99	391																																				
1	A12	Unknown	10_0 1/8	0.186065	4156.11	392																																				
1	A12	Unknown	10_0 1/8	0.183678	4156.24	393																																				
1	A12	Unknown	10_0 1/8	0.181037	4156.36	394																																				
1	A12	Unknown	10_0 1/8	0.179764	4156.48	395																																				
1	A12	Unknown	10_0 1/8	0.179073	4156.6	396																																				
1	A12	Unknown	10_0 1/8	0.178297	4156.72	397																																				
1	A12	Unknown	10_0 1/8	0.177907	4156.85	398																																				
1	A12	Unknown	10_0 1/8	0.179061	4156.97	399																																				
1	A12	Unknown	10_0 1/8	0.179433	4157.09	400																																				
1	A12	Unknown	10_0 1/8	0.180016	4157.21	401																																				
1	A12	Unknown	10_0 1/8	0.181344	4157.33	402																																				
1	A12	Unknown	10_0 1/8	0.183165	4157.45	403																																				
1	A12	Unknown	10_0 1/8	0.185769	4157.58	404																																				
1	A12	Unknown	10_0 1/8	0.18748	4157.7	405																																				
1	A12	Unknown	10_0 1/8	0.189202	4157.82	406																																				
1	A12	Unknown	10_0 1/8	0.19097	4157.94	407																																				
1	A12	Unknown	10_0 1/8	0.193365	4158.06	408																																				
1	A12	Unknown	10_0 1/8	0.196157	4158.19	409																																				
1	A12	Unknown	10_0 1/8	0.198376	4158.31	410																																				
1	A12	Unknown	10_0 1/8	0.201763	4158.43	411																																				
1	A12	Unknown	10_0 1/8	0.205377	4158.55	412																																				
1	A12	Unknown	10_0 1/8	0.207173	4158.68	413																																				
1	A12	Unknown	10_0 1/8	0.210083	4158.8	414																																				
1	A12	Unknown	10_0 1/8	0.21356	4158.92	415																																				
1	A12	Unknown	10_0 1/8	0.217758	4159.04	416																																				
1	A12	Unknown	10_0 1/8	0.220808	4159.16	417																																				
1	A12	Unknown	10_0 1/8	0.224762	4159.29	418																																				
1	A12	Unknown	10_0 1/8	0.227416	4159.41	419																																				
1	A12	Unknown	10_0 1/8	0.230764	4159.53	420																																				
1	A12	Unknown	10_0 1/8	0.233739	4159.65	421																																				
1	A12	Unknown	10_0 1/8	0.237477	4159.77	422																																				
1	A12	Unknown	10_0 1/8	0.240885	4159.9	423																																				
1	A12	Unknown	10_0 1/8	0.24399	4160.02	424																																				
1	A12	Unknown	10_0 1/8	0.24761	4160.14	425																																				
1	A12	Unknown	10_0 1/8	0.250508	4160.26	426																																				
1	A12	Unknown	10_0 1/8	0.254457	4160.38	427																																				
1	A12	Unknown	10_0 1/8	0.258851	4160.51	428																																				
1	A12	Unknown	10_0 1/8	0.261962	4160.63	429																																				
1	A12	Unknown	10_0 1/8	0.266133	4160.75	430																																				
1	A12	Unknown	10_0 1/8	0.269926	4160.87	431																																				
1	A12	Unknown	10_0 1/8	0.273675	4161	432																																				
1	A12	Unknown	10_0 1/8	0.278712	4161.12	433																																				
1	A12	Unknown	10_0 1/8	0.283133	4161.24	434																																				
1	A12	Unknown	10_0 1/8	0.28722	4161.36	435																																				
1	A12	Unknown	10_0 1/8	0.291167	4161.48	436																																				
1	A12	Unknown	10_0 1/8	0.294783	4161.6	437																																				
1	A12	Unknown	10_0 1/8	0.299285	4161.73	438																																				
1	A12	Unknown	10_0 1/8	0.304527	4161.85	439																																				
1	A12	Unknown	10_0 1/8	0.309091	4161.97	440																																				
1	A12	Unknown	10_0 1/8	0.312651	4162.09	441																																				
1	A12	Unknown	10_0 1/8	0.31697	4162.22	442																																				
1	A12	Unknown	10_0 1/8	0.322535	4162.34	443																																				
1	A12	Unknown	10_0 1/8	0.327232	4162.46	444																																				
1	A12	Unknown	10_0 1/8	0.331736	4162.58	445																																				
1	A12	Unknown	10_0 1/8	0.336697	4162.7	446																																				
1	A12	Unknown	10_0 1/8	0.341297	4162.83	447																																				
1	A12	Unknown	10_0 1/8	0.345813	4162.95	448																																				
1	A12	Unknown	10_0 1/8	0.352195	4163.07	449																																				
1	A12	Unknown	10_0 1/8	0.357037	4163.19	450																																				
1	A12	Unknown	10_0 1/8	0.361741	4163.31	451																																				
1	A12	Unknown	10_0 1/8	0.366755	4163.44	452																																				
1	A12	Unknown	10_0 1/8	0.373955	4163.56	453																																				
1	A12	Unknown	10_0 1/8	0.379506	4163.68	454																																				
1	A12	Unknown	10_0 1/8	0.385582	4163.8	455																																				
1	A12	Unknown	10_0 1/8	0.391022	4163.92	456																																				
1	A12	Unknown	10_0 1/8	0.397505	4164.05	457																																				
1	A12	Unknown	10_0 1/8	0.404688	4164.17	458																																				
1	A12	Unknown	10_0 1/8	0.412992	4164.29	459																																				
1	A12	Unknown	10_0 1/8	0.418521	4164.41	460																																				
1	A12	Unknown	10_0 1/8	0.425005	4164.54	461																																				
1	A12	Unknown	10_0 1/8	0.431311	4164.66	462																																				
1	A12	Unknown	10_0 1/8	0.437632	4164.78	463																																				
1	A12	Unknown	10_0 1/8	0.446735	4164.9	464																																				
1	A12	Unknown	10_0 1/8	0.45404	4165.02	465																																				
1	A12	Unknown	10_0 1/8	0.462639	4165.29	466																																				
1	A12	Unknown	10_0 1/8	0.470033	4165.41	467																																				
1	A12	Unknown	10_0 1/8	0.480176	4165.53	468																																				
1	A12	Unknown	10_0 1/8	0.488418	4165.65	469																																				
1	A12	Unknown	10_0 1/8	0.497714	4165.78	470																																				
1	A12	Unknown	10_0 1/8	0.50664	4165.9	471																																				
1	A12	Unknown	10_0 1/8	0.516048	4166.02	472																																				
1	A12	Unknown	10_0 1/8	0.527349	4166.14	473																																				
1	A12	Unknown	10_0 1/8	0.537746	4166.26	474																																				
1	A12	Unknown	10_0 1/8	0.547826	4166.39	475																																				
1	A12	Unknown	10_0 1/8	0.557412	4166.51	476																																				
1	A12	Unknown	10_0 1/8	0.57105	4166.63	477																																				
1	A12	Unknown	10_0 1/8	0.582383	4166.75	478																																				
1	A12	Unknown	10_0 1/8	0.593705	4166.87	479																																				
1	A12	Unknown	10_0 1/8	0.606548	4167	480																																				
1	A12	Unknown	10_0 1/8	0.619221	4167.12	481																																				
1	A12	Unknown	10_0 1/8	0.636141	4167.24	482																																				
1	A12	Unknown	10_0 1/8	0.649146	4167.36	483																																				
1	A12	Unknown	10_0 1/8	0.661415	4167.49	484																																				
1	A12	Unknown	10_0 1/8	0.673256	4167.61	485																																				
1	A12	Unknown	10_0 1/8	0.684672	4167.73	486																																				
