DiffTime,Value,Description
0,0.023,B2t30min
0.00333,0.023,B2t30min
0.00667,0.025,B2t30min
0.01,0.026,B2t30min
0.01333,0.027,B2t30min
0.01667,0.027,B2t30min
0.02,0.028,B2t30min
0.02333,0.03,B2t30min
0.02667,0.03,B2t30min
0.03,0.03,B2t30min
0.03333,0.03,B2t30min
0.03667,0.031,B2t30min
0.04,0.031,B2t30min
0.04333,0.031,B2t30min
0.04667,0.031,B2t30min
0.05,0.031,B2t30min
0.05333,0.031,B2t30min
0.05667,0.031,B2t30min
0.06,0.031,B2t30min
0.06333,0.031,B2t30min
0.06667,0.031,B2t30min
0.07,0.031,B2t30min
0.07333,0.031,B2t30min
0.07667,0.031,B2t30min
0.08,0.031,B2t30min
0.08333,0.031,B2t30min
0.08667,0.031,B2t30min
0.09,0.031,B2t30min
0.09333,0.031,B2t30min
0.09667,0.031,B2t30min
0.1,0.031,B2t30min
0.10333,0.031,B2t30min
0.10667,0.031,B2t30min
0.11,0.031,B2t30min
0.11333,0.031,B2t30min
0.11667,0.031,B2t30min
0.12,0.029,B2t30min
0.12333,0.029,B2t30min
0.12667,0.029,B2t30min
0.13,0.029,B2t30min
0.13333,0.029,B2t30min
0.13667,0.029,B2t30min
0.14,0.029,B2t30min
0.14333,0.029,B2t30min
0.14667,0.029,B2t30min
0.15,0.029,B2t30min
0.15333,0.029,B2t30min
0.15667,0.029,B2t30min
0.16,0.029,B2t30min
0.16333,0.029,B2t30min
0.16667,0.029,B2t30min
0.17,0.029,B2t30min
0.17333,0.029,B2t30min
0.17667,0.029,B2t30min
0.18,0.029,B2t30min
0.18333,0.029,B2t30min
0.18667,0.029,B2t30min
0.19,0.029,B2t30min
0.19333,0.029,B2t30min
0.19667,0.029,B2t30min
0.2,0.029,B2t30min
0.20333,0.029,B2t30min
0.20667,0.029,B2t30min
0.21,0.029,B2t30min
0.21333,0.029,B2t30min
0.21667,0.029,B2t30min
0.22,0.029,B2t30min
0.22333,0.029,B2t30min
0.22667,0.029,B2t30min
0.23,0.029,B2t30min
0.23333,0.029,B2t30min
0.23667,0.029,B2t30min
0.24,0.029,B2t30min
0.24333,0.029,B2t30min
0.24667,0.029,B2t30min
0.25,0.029,B2t30min
0.25333,0.029,B2t30min
0.25667,0.029,B2t30min
0.26,0.029,B2t30min
0.26333,0.029,B2t30min
0.26667,0.029,B2t30min
0.27,0.029,B2t30min
0.27333,0.029,B2t30min
0.27667,0.029,B2t30min
0.28,0.029,B2t30min
0.28333,0.029,B2t30min
0.28667,0.029,B2t30min
0.29,0.029,B2t30min
0.29333,0.029,B2t30min
0.29667,0.029,B2t30min
0.3,0.029,B2t30min
0.30333,0.029,B2t30min
0.30667,0.029,B2t30min
0.31,0.029,B2t30min
0.31333,0.029,B2t30min
0.31667,0.029,B2t30min
0.32,0.029,B2t30min
0.32333,0.029,B2t30min
0.32667,0.029,B2t30min
0.33,0.029,B2t30min
0.33333,0.029,B2t30min
0.33667,0.029,B2t30min
0.34,0.029,B2t30min
0.34333,0.029,B2t30min
0.34667,0.029,B2t30min
0.35,0.029,B2t30min
0.35333,0.029,B2t30min
0.35667,0.029,B2t30min
0.36,0.029,B2t30min
0.36333,0.029,B2t30min
0.36667,0.029,B2t30min
0.37,0.029,B2t30min
0.37333,0.029,B2t30min
0.37667,0.029,B2t30min
0.38,0.03,B2t30min
0.38333,0.03,B2t30min
0.38667,0.03,B2t30min
0.39,0.03,B2t30min
0.39333,0.03,B2t30min
0.39667,0.03,B2t30min
0.4,0.03,B2t30min
0.40333,0.03,B2t30min
0.40667,0.03,B2t30min
0.41,0.03,B2t30min
0.41333,0.03,B2t30min
0.41667,0.03,B2t30min
0.42,0.03,B2t30min
0.42333,0.03,B2t30min
0.42667,0.03,B2t30min
0.43,0.03,B2t30min
0.43333,0.03,B2t30min
0.43667,0.03,B2t30min
0.44,0.03,B2t30min
0.44333,0.03,B2t30min
0.44667,0.03,B2t30min
0.45,0.03,B2t30min
0.45333,0.03,B2t30min
0.45667,0.03,B2t30min
0.46,0.03,B2t30min
0.46333,0.03,B2t30min
0.46667,0.03,B2t30min
0.47,0.03,B2t30min
0.47333,0.03,B2t30min
0.47667,0.03,B2t30min
0.48,0.03,B2t30min
0.48333,0.03,B2t30min
0.48667,0.03,B2t30min
0.49,0.03,B2t30min
0.49333,0.03,B2t30min
0.49667,0.03,B2t30min
0.5,0.03,B2t30min
0.50333,0.03,B2t30min
0.50667,0.03,B2t30min
0.51,0.03,B2t30min
0.51333,0.03,B2t30min
0.51667,0.03,B2t30min
0.52,0.03,B2t30min
0.52333,0.03,B2t30min
0.52667,0.03,B2t30min
0.53,0.03,B2t30min
0.53333,0.03,B2t30min
0.53667,0.03,B2t30min
0.54,0.03,B2t30min
0.54333,0.03,B2t30min
0.54667,0.03,B2t30min
0.55,0.03,B2t30min
0.55333,0.029,B2t30min
0.55667,0.029,B2t30min
0.56,0.029,B2t30min
0.56333,0.029,B2t30min
0.56667,0.029,B2t30min
0.57,0.029,B2t30min
0.57333,0.029,B2t30min
0.57667,0.029,B2t30min
0.58,0.029,B2t30min
0.58333,0.029,B2t30min
0.58667,0.029,B2t30min
0.59,0.029,B2t30min
0.59333,0.029,B2t30min
0.59667,0.029,B2t30min
0.6,0.029,B2t30min
0.60333,0.029,B2t30min
0.60667,0.029,B2t30min
0.61,0.029,B2t30min
0.61333,0.029,B2t30min
0.61667,0.029,B2t30min
0.62,0.029,B2t30min
0.62333,0.029,B2t30min
0.62667,0.029,B2t30min
0.63,0.029,B2t30min
0.63333,0.029,B2t30min
0.63667,0.029,B2t30min
0.64,0.029,B2t30min
0.64333,0.029,B2t30min
0.64667,0.028,B2t30min
0.65,0.028,B2t30min
0.65333,0.028,B2t30min
0.65667,0.028,B2t30min
0.66,0.028,B2t30min
0.66333,0.028,B2t30min
0.66667,0.028,B2t30min
0.67,0.028,B2t30min
0.67333,0.028,B2t30min
0.67667,0.028,B2t30min
0.68,0.028,B2t30min
0.68333,0.028,B2t30min
0.68667,0.028,B2t30min
0.69,0.028,B2t30min
0.69333,0.028,B2t30min
0.69667,0.028,B2t30min
0.7,0.028,B2t30min
0.70333,0.028,B2t30min
0.70667,0.028,B2t30min
0.71,0.028,B2t30min
0.71333,0.028,B2t30min
0.71667,0.028,B2t30min
0.72,0.028,B2t30min
0.72333,0.028,B2t30min
0.72667,0.028,B2t30min
0.73,0.028,B2t30min
0.73333,0.028,B2t30min
0.73667,0.028,B2t30min
0.74,0.028,B2t30min
0.74333,0.028,B2t30min
0.74667,0.028,B2t30min
0.75,0.028,B2t30min
0.75333,0.028,B2t30min
0.75667,0.028,B2t30min
0.76,0.028,B2t30min
0.76333,0.028,B2t30min
0.76667,0.028,B2t30min
0.77,0.028,B2t30min
0.77333,0.028,B2t30min
0.77667,0.028,B2t30min
0.78,0.028,B2t30min
0.78333,0.028,B2t30min
0.78667,0.028,B2t30min
0.79,0.028,B2t30min
0.79333,0.028,B2t30min
0.79667,0.028,B2t30min
0.8,0.028,B2t30min
0.80333,0.028,B2t30min
0.80667,0.028,B2t30min
0.81,0.028,B2t30min
0.81333,0.028,B2t30min
0.81667,0.028,B2t30min
0.82,0.028,B2t30min
0.82333,0.028,B2t30min
0.82667,0.028,B2t30min
0.83,0.028,B2t30min
0.83333,0.028,B2t30min
0.83667,0.028,B2t30min
0.84,0.028,B2t30min
0.84333,0.028,B2t30min
0.84667,0.028,B2t30min
0.85,0.028,B2t30min
0.85333,0.028,B2t30min
0.85667,0.028,B2t30min
0.86,0.028,B2t30min
0.86333,0.028,B2t30min
0.86667,0.028,B2t30min
0.87,0.028,B2t30min
0.87333,0.028,B2t30min
0.87667,0.028,B2t30min
0.88,0.028,B2t30min
0.88333,0.028,B2t30min
0.88667,0.028,B2t30min
0.89,0.028,B2t30min
0.89333,0.028,B2t30min
0.89667,0.028,B2t30min
0.9,0.028,B2t30min
0.90333,0.028,B2t30min
0.90667,0.028,B2t30min
0.91,0.028,B2t30min
0.91333,0.028,B2t30min
0.91667,0.028,B2t30min
0.92,0.028,B2t30min
0.92333,0.028,B2t30min
0.92667,0.028,B2t30min
0.93,0.028,B2t30min
0.93333,0.028,B2t30min
0.93667,0.028,B2t30min
0.94,0.028,B2t30min
0.94333,0.028,B2t30min
0.94667,0.028,B2t30min
0.95,0.028,B2t30min
0.95333,0.028,B2t30min
0.95667,0.028,B2t30min
0.96,0.028,B2t30min
0.96333,0.028,B2t30min
0.96667,0.028,B2t30min
0.97,0.028,B2t30min
0.97333,0.028,B2t30min
0.97667,0.028,B2t30min
0.98,0.028,B2t30min
0.98333,0.028,B2t30min
0.98667,0.028,B2t30min
0.99,0.028,B2t30min
0.99333,0.028,B2t30min
0.99667,0.028,B2t30min
1,0.028,B2t30min
1.00333,0.028,B2t30min
1.00667,0.028,B2t30min
1.01,0.028,B2t30min
1.01333,0.028,B2t30min
1.01667,0.028,B2t30min
1.02,0.028,B2t30min
1.02333,0.028,B2t30min
1.02667,0.028,B2t30min
1.03,0.028,B2t30min
1.03333,0.028,B2t30min
1.03667,0.028,B2t30min
1.04,0.028,B2t30min
1.04333,0.028,B2t30min
1.04667,0.028,B2t30min
1.05,0.028,B2t30min
1.05333,0.028,B2t30min
1.05667,0.028,B2t30min
1.06,0.028,B2t30min
1.06333,0.028,B2t30min
1.06667,0.028,B2t30min
1.07,0.028,B2t30min
1.07333,0.028,B2t30min
1.07667,0.028,B2t30min
1.08,0.028,B2t30min
1.08333,0.028,B2t30min
1.08667,0.028,B2t30min
1.09,0.028,B2t30min
1.09333,0.028,B2t30min
1.09667,0.028,B2t30min
1.1,0.028,B2t30min
1.10333,0.028,B2t30min
1.10667,0.028,B2t30min
1.11,0.028,B2t30min
1.11333,0.028,B2t30min
1.11667,0.028,B2t30min
1.12,0.028,B2t30min
1.12333,0.028,B2t30min
1.12667,0.028,B2t30min
1.13,0.028,B2t30min
1.13333,0.028,B2t30min
1.13667,0.028,B2t30min
1.14,0.028,B2t30min
1.14333,0.028,B2t30min
1.14667,0.028,B2t30min
1.15,0.028,B2t30min
1.15333,0.028,B2t30min
1.15667,0.028,B2t30min
1.16,0.028,B2t30min
1.16333,0.028,B2t30min
1.16667,0.028,B2t30min
1.17,0.028,B2t30min
1.17333,0.028,B2t30min
1.17667,0.028,B2t30min
1.18,0.028,B2t30min
1.18333,0.028,B2t30min
1.18667,0.028,B2t30min
1.19,0.028,B2t30min
1.19333,0.028,B2t30min
1.19667,0.028,B2t30min
1.2,0.028,B2t30min
1.20333,0.028,B2t30min
1.20667,0.028,B2t30min
1.21,0.028,B2t30min
1.21333,0.028,B2t30min
1.21667,0.028,B2t30min
1.22,0.028,B2t30min
1.22333,0.028,B2t30min
1.22667,0.028,B2t30min
1.23,0.028,B2t30min
1.23333,0.028,B2t30min
1.23667,0.028,B2t30min
1.24,0.028,B2t30min
1.24333,0.028,B2t30min
1.24667,0.028,B2t30min
1.25,0.028,B2t30min
1.25333,0.028,B2t30min
1.25667,0.028,B2t30min
1.26,0.028,B2t30min
1.26333,0.028,B2t30min
1.26667,0.028,B2t30min
1.27,0.027,B2t30min
1.27333,0.027,B2t30min
1.27667,0.027,B2t30min
1.28,0.027,B2t30min
1.28333,0.027,B2t30min
1.28667,0.027,B2t30min
1.29,0.027,B2t30min
1.29333,0.027,B2t30min
1.29667,0.027,B2t30min
1.3,0.027,B2t30min
1.30333,0.027,B2t30min
1.30667,0.027,B2t30min
1.31,0.027,B2t30min
1.31333,0.027,B2t30min
1.31667,0.027,B2t30min
1.32,0.027,B2t30min
1.32333,0.027,B2t30min
1.32667,0.027,B2t30min
1.33,0.027,B2t30min
1.33333,0.027,B2t30min
1.33667,0.027,B2t30min
1.34,0.026,B2t30min
1.34333,0.026,B2t30min
1.34667,0.026,B2t30min
1.35,0.025,B2t30min
1.35333,0.024,B2t30min
1.35667,0.023,B2t30min
1.36,0.023,B2t30min
1.36333,0.023,B2t30min
1.36667,0.023,B2t30min
1.37,0.023,B2t30min
1.37333,0.023,B2t30min
1.37667,0.023,B2t30min
1.38,0.023,B2t30min
1.38333,0.023,B2t30min
1.38667,0.023,B2t30min
1.39,0.023,B2t30min
1.39333,0.023,B2t30min
1.39667,0.023,B2t30min
1.4,0.023,B2t30min
1.40333,0.023,B2t30min
1.40667,0.023,B2t30min
1.41,0.023,B2t30min
1.41333,0.023,B2t30min
1.41667,0.023,B2t30min
1.42,0.023,B2t30min
1.42333,0.023,B2t30min
1.42667,0.023,B2t30min
1.43,0.023,B2t30min
1.43333,0.023,B2t30min
1.43667,0.023,B2t30min
1.44,0.023,B2t30min
1.44333,0.023,B2t30min
1.44667,0.023,B2t30min
1.45,0.023,B2t30min
1.45333,0.023,B2t30min
1.45667,0.023,B2t30min
1.46,0.023,B2t30min
1.46333,0.023,B2t30min
1.46667,0.023,B2t30min
1.47,0.023,B2t30min
1.47333,0.023,B2t30min
1.47667,0.023,B2t30min
1.48,0.023,B2t30min
1.48333,0.023,B2t30min
1.48667,0.023,B2t30min
1.49,0.023,B2t30min
1.49333,0.023,B2t30min
1.49667,0.023,B2t30min
1.5,0.023,B2t30min
1.50333,0.023,B2t30min
1.50667,0.023,B2t30min
1.51,0.023,B2t30min
1.51333,0.023,B2t30min
1.51667,0.023,B2t30min
1.52,0.023,B2t30min
1.52333,0.023,B2t30min
1.52667,0.023,B2t30min
1.53,0.023,B2t30min
1.53333,0.023,B2t30min
1.53667,0.023,B2t30min
1.54,0.023,B2t30min
1.54333,0.023,B2t30min
1.54667,0.023,B2t30min
1.55,0.023,B2t30min
1.55333,0.023,B2t30min
1.55667,0.023,B2t30min
1.56,0.023,B2t30min
1.56333,0.023,B2t30min
1.56667,0.023,B2t30min
1.57,0.023,B2t30min
1.57333,0.023,B2t30min
1.57667,0.023,B2t30min
1.58,0.023,B2t30min
1.58333,0.023,B2t30min
1.58667,0.023,B2t30min
1.59,0.023,B2t30min
1.59333,0.023,B2t30min
1.59667,0.023,B2t30min
1.6,0.023,B2t30min
1.60333,0.023,B2t30min
1.60667,0.023,B2t30min
1.61,0.023,B2t30min
1.61333,0.023,B2t30min
1.61667,0.023,B2t30min
1.62,0.023,B2t30min
1.62333,0.023,B2t30min
1.62667,0.023,B2t30min
1.63,0.023,B2t30min
1.63333,0.023,B2t30min
1.63667,0.024,B2t30min
1.64,0.025,B2t30min
1.64333,0.025,B2t30min
1.64667,0.025,B2t30min
1.65,0.025,B2t30min
1.65333,0.025,B2t30min
1.65667,0.025,B2t30min
1.66,0.025,B2t30min
1.66333,0.025,B2t30min
1.66667,0.025,B2t30min
1.67,0.025,B2t30min
1.67333,0.025,B2t30min
1.67667,0.025,B2t30min
1.68,0.025,B2t30min
1.68333,0.025,B2t30min
1.68667,0.025,B2t30min
1.69,0.025,B2t30min
1.69333,0.025,B2t30min
1.69667,0.025,B2t30min
1.7,0.025,B2t30min
1.70333,0.025,B2t30min
1.70667,0.025,B2t30min
1.71,0.025,B2t30min
1.71333,0.025,B2t30min
1.71667,0.025,B2t30min
1.72,0.025,B2t30min
1.72333,0.025,B2t30min
1.72667,0.025,B2t30min
1.73,0.025,B2t30min
1.73333,0.025,B2t30min
1.73667,0.025,B2t30min
1.74,0.025,B2t30min
1.74333,0.025,B2t30min
1.74667,0.025,B2t30min
1.75,0.025,B2t30min
1.75333,0.025,B2t30min
1.75667,0.025,B2t30min
1.76,0.025,B2t30min
1.76333,0.025,B2t30min
1.76667,0.025,B2t30min
1.77,0.025,B2t30min
1.77333,0.025,B2t30min
1.77667,0.025,B2t30min
1.78,0.025,B2t30min
1.78333,0.025,B2t30min
1.78667,0.025,B2t30min
1.79,0.025,B2t30min
1.79333,0.025,B2t30min
1.79667,0.025,B2t30min
1.8,0.025,B2t30min
1.80333,0.025,B2t30min
1.80667,0.025,B2t30min
1.81,0.025,B2t30min
1.81333,0.025,B2t30min
1.81667,0.025,B2t30min
1.82,0.025,B2t30min
1.82333,0.025,B2t30min
1.82667,0.025,B2t30min
1.83,0.025,B2t30min
1.83333,0.025,B2t30min
1.83667,0.025,B2t30min
1.84,0.025,B2t30min
1.84333,0.025,B2t30min
1.84667,0.025,B2t30min
1.85,0.025,B2t30min
1.85333,0.025,B2t30min
1.85667,0.025,B2t30min
1.86,0.025,B2t30min
1.86333,0.025,B2t30min
1.86667,0.025,B2t30min
1.87,0.025,B2t30min
1.87333,0.025,B2t30min
1.87667,0.025,B2t30min
1.88,0.025,B2t30min
1.88333,0.025,B2t30min
1.88667,0.025,B2t30min
1.89,0.025,B2t30min
1.89333,0.025,B2t30min
1.89667,0.025,B2t30min
1.9,0.025,B2t30min
1.90333,0.025,B2t30min
1.90667,0.025,B2t30min
1.91,0.025,B2t30min
1.91333,0.025,B2t30min
1.91667,0.025,B2t30min
1.92,0.025,B2t30min
1.92333,0.025,B2t30min
1.92667,0.025,B2t30min
1.93,0.025,B2t30min
1.93333,0.025,B2t30min
1.93667,0.025,B2t30min
1.94,0.025,B2t30min
1.94333,0.025,B2t30min
1.94667,0.025,B2t30min
1.95,0.025,B2t30min
1.95333,0.025,B2t30min
1.95667,0.025,B2t30min
1.96,0.025,B2t30min
1.96333,0.025,B2t30min
1.96667,0.025,B2t30min
